Num of gen points;Narrow area;Wide area;Right answer;
100;0.975000000000;0.874992235950;0,944517185899464;
600;0.991666666667;0.729160196625;0,944517185899464;
1100;0.956818181818;1.069434955050;0,944517185899464;
1600;0.964062500000;0.953984590584;0,944517185899464;
2100;0.967261904762;0.925917710000;0,944517185899464;
2600;0.938942307692;0.874992235950;0,944517185899464;
3100;0.948790322581;0.962805076834;0,944517185899464;
3600;0.934722222222;0.877692829271;0,944517185899464;
4100;0.942073170732;0.936644805421;0,944517185899464;
4600;0.938586956522;0.991235165847;0,944517185899464;
5100;0.940686274510;0.909305656968;0,944517185899464;
5600;0.931026785714;0.970477499794;0,944517185899464;
6100;0.939344262295;0.925993604894;0,944517185899464;
6600;0.934280303030;0.933914272041;0,944517185899464;
7100;0.945070422535;0.969474965653;0,944517185899464;
7600;0.942763157895;0.918486002064;0,944517185899464;
8100;0.950771604938;0.983015968783;0,944517185899464;
8600;0.939970930233;0.904384740000;0,944517185899464;
9100;0.943543956044;0.926273832196;0,944517185899464;
9600;0.944661458333;0.926641083211;0,944517185899464;
10100;0.944925742574;0.986652411275;0,944517185899464;
10600;0.955542452830;0.902507715068;0,944517185899464;
11100;0.944031531532;0.938054739442;0,944517185899464;
11600;0.940625000000;0.942879564601;0,944517185899464;
12100;0.946487603306;1.012387711016;0,944517185899464;
12600;0.940575396825;0.984559164967;0,944517185899464;
13100;0.944370229008;0.906904590611;0,944517185899464;
13600;0.944577205882;0.933610996855;0,944517185899464;
14100;0.948847517730;0.961870897675;0,944517185899464;
14600;0.944863013699;0.976208993838;0,944517185899464;
15100;0.947516556291;0.970282045310;0,944517185899464;
15600;0.940865384615;0.942299331023;0,944517185899464;
16100;0.939130434783;0.932962736054;0,944517185899464;
16600;0.948719879518;0.940587370104;0,944517185899464;
17100;0.943932748538;0.954020124707;0,944517185899464;
17600;0.944460227273;0.936307979757;0,944517185899464;
18100;0.944889502762;0.931391367181;0,944517185899464;
18600;0.943817204301;0.926216393132;0,944517185899464;
19100;0.950850785340;0.938618780158;0,944517185899464;
19600;0.937563775510;0.900785657871;0,944517185899464;
20100;0.945460199005;0.946578112634;0,944517185899464;
20600;0.946177184466;0.959942938469;0,944517185899464;
21100;0.944431279621;0.966684418654;0,944517185899464;
21600;0.949016203704;0.971763496613;0,944517185899464;
22100;0.948020361991;0.936580427520;0,944517185899464;
22600;0.943639380531;0.958877922287;0,944517185899464;
23100;0.944588744589;0.944856935886;0,944517185899464;
23600;0.942002118644;0.960266903013;0,944517185899464;
24100;0.946058091286;0.950429556431;0,944517185899464;
24600;0.946951219512;0.920836454274;0,944517185899464;
25100;0.949900398406;0.959818840498;0,944517185899464;
25600;0.945800781250;0.941452149705;0,944517185899464;
26100;0.949760536398;0.947628883890;0,944517185899464;
26600;0.942575187970;0.937491681375;0,944517185899464;
27100;0.947693726937;0.985846110861;0,944517185899464;
27600;0.939311594203;0.946146999099;0,944517185899464;
28100;0.945951957295;0.939691147821;0,944517185899464;
28600;0.944493006993;0.924622720196;0,944517185899464;
29100;0.949484536082;0.967870373252;0,944517185899464;
29600;0.941554054054;0.960389376095;0,944517185899464;
30100;0.950622923588;0.942498096900;0,944517185899464;
30600;0.944689542484;0.968400993165;0,944517185899464;
31100;0.944292604502;0.938139228326;0,944517185899464;
31600;0.945965189873;0.966060344896;0,944517185899464;
